[2026-06-03 15:44:26.967592] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 15:44:27.473304] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 15:44:48.161741] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-03 15:44:51.431313] API CALL -> sucursal_id: Suc. Heroinas, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-03 15:45:10.545222] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-03 15:45:14.869519] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-03 15:45:34.591948] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-03 15:50:41.185780] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 20:30:25.912371] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 20:30:44.705863] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 20:30:45.192184] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 21:41:22.112862] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 21:41:41.196492] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 21:41:41.201857] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 21:45:22.501290] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 21:46:14.117107] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 22:06:21.318253] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 22:06:41.537647] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 22:06:41.542987] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 22:08:11.704820] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 22:08:32.004591] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 22:12:05.292250] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 22:12:05.682495] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 22:16:28.373582] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 22:16:48.380139] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 22:16:48.685683] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 22:17:08.033479] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 22:17:08.820868] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 22:17:09.033224] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 22:17:27.730182] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 22:17:29.085979] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 22:23:20.747260] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 22:23:58.413110] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 22:25:13.566075] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 22:28:56.065625] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 22:29:01.062543] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 22:29:57.863760] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 22:30:36.183519] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 22:33:04.629801] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 22:33:08.749805] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 22:35:41.197047] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 22:35:53.554604] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 22:36:13.931354] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 22:36:13.934580] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 22:37:06.608989] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 22:37:26.679058] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 22:40:58.659072] API CALL -> sucursal_id: None, tenant: None, time_range: 30days
[2026-06-08 22:41:40.650737] API CALL -> sucursal_id: None, tenant: None, time_range: today
[2026-06-08 22:44:21.086894] API CALL -> sucursal_id: None, tenant: None, time_range: today
[2026-06-08 22:49:51.579776] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 22:50:10.623259] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 22:50:12.025541] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 22:50:35.830899] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 22:51:55.917678] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 22:52:12.440325] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 7days
[2026-06-08 22:55:24.380763] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 22:55:30.937311] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 7days
[2026-06-08 22:55:39.653952] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-08 22:56:03.334265] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 22:56:37.866404] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 23:03:37.076662] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 23:09:58.298010] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 23:11:58.181697] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 23:13:01.970899] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 23:18:52.315500] API CALL -> sucursal_id: None, tenant: 65f2cbdfbb46ddb1ff3d5af0, time_range: today
[2026-06-08 23:19:06.170454] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 23:27:50.772653] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 23:29:06.189627] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 23:38:47.323669] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 23:39:55.846151] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 23:49:32.835083] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-08 23:57:11.369683] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 00:01:31.262363] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 00:04:05.829869] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 00:06:37.887672] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 00:07:19.412985] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 00:11:42.676942] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 00:11:50.855268] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: custom
[2026-06-09 00:11:51.203456] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: custom
[2026-06-09 08:43:53.065466] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 08:56:20.926989] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 08:56:59.605040] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 08:57:09.011649] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-09 08:57:29.049289] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-09 08:59:49.505761] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 09:02:43.401982] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 09:07:40.996902] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 09:11:47.607761] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 09:24:28.609813] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 09:28:15.692163] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 09:35:28.560572] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 09:36:06.146581] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 09:55:59.110649] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 09:55:59.116249] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 09:56:59.641642] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 09:56:59.762522] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 09:56:59.766112] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 10:01:11.550200] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 10:01:11.559710] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 10:01:11.563785] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 10:01:48.582254] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 10:01:48.982373] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 10:09:58.715649] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 10:09:58.722047] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 10:09:58.726800] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-09 10:53:12.614067] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
